group,case,M,model,op,calls,total_ms
sub2gib,small-silu,128,fused,MoE,35,364.024
sub2gib,small-silu,128,expanded,GroupedMatMul,70,319.737
sub2gib,small-silu,128,expanded,Reshape,105,5.957
sub2gib,small-silu,128,expanded,ReduceSum,70,5.736
sub2gib,small-silu,128,expanded,QuickGelu,35,5.485
sub2gib,small-silu,128,expanded,Mul,35,3.42
sub2gib,small-silu,128,expanded,TopK,35,2.845
sub2gib,small-silu,128,expanded,Softmax,35,2.43
sub2gib,small-silu,128,expanded,Div,35,2.309
sub2gib,small-silu,128,expanded,Unsqueeze,35,1.788
sub2gib,small-silu-bias,128,fused,MoE,35,522.006
sub2gib,small-silu-bias,128,expanded,GroupedMatMul,70,298.841
sub2gib,small-silu-bias,128,expanded,QuickGelu,35,5.229
sub2gib,small-silu-bias,128,expanded,Reshape,105,4.603
sub2gib,small-silu-bias,128,expanded,ReduceSum,70,4.555
sub2gib,small-silu-bias,128,expanded,Mul,35,2.809
sub2gib,small-silu-bias,128,expanded,TopK,35,2.224
sub2gib,small-silu-bias,128,expanded,Softmax,35,1.941
sub2gib,small-silu-bias,128,expanded,Div,35,1.824
sub2gib,small-silu-bias,128,expanded,Unsqueeze,35,1.427
sub2gib,small-swiglu,128,fused,MoE,35,704.272
sub2gib,small-swiglu,128,expanded,GroupedMatMul,70,414.233
sub2gib,small-swiglu,128,expanded,Split,35,9.202
sub2gib,small-swiglu,128,expanded,Mul,70,6.212
sub2gib,small-swiglu,128,expanded,Reshape,140,6.049
sub2gib,small-swiglu,128,expanded,ReduceSum,70,4.386
sub2gib,small-swiglu,128,expanded,QuickGelu,35,3.951
sub2gib,small-swiglu,128,expanded,Squeeze,70,3.132
sub2gib,small-swiglu,128,expanded,TopK,35,2.229
sub2gib,small-swiglu,128,expanded,Softmax,35,1.832
sub2gib,small-swiglu,128,expanded,Div,35,1.75
sub2gib,small-swiglu,128,expanded,Unsqueeze,35,1.393
sub2gib,small-gelu,128,fused,MoE,35,594.993
sub2gib,small-gelu,128,expanded,GroupedMatMul,70,309.384
