case,M,k,K,N,num_groups,cublas_ms,cutlass_ms,speedup,max_relerr
tiny,256,1,512,512,8,0.46853587652246154,1.0095182495812574,0.464118282870872,0.0
small-dense,512,1,768,768,8,1.142575064053138,1.679094849775235,0.6804708287956955,0.0
small-top2,512,2,512,512,16,1.5246766619384289,1.7049072931210199,0.8942871369547262,0.0
medium-dense,1024,1,768,768,16,2.7166816095511117,2.4788671173155308,1.0959367650546432,0.0
medium-top2,512,2,768,768,32,3.8467559653023877,3.8051245734095573,1.0109408748884998,0.0
large-tokens,2048,1,512,512,32,2.900396070132653,2.905034491171439,0.9984033163623763,0.0
large-top2,2048,2,768,768,32,4.385606292635202,4.305919446051121,1.0185063486631551,0.0
wide-hidden,256,2,1024,1024,8,2.212565826872985,2.3550942229727903,0.9394808094260049,0.0
many-experts,512,1,512,512,64,3.285440895706415,3.5738203674554825,0.9193077877178282,0.0
many-experts-top2,512,2,512,512,64,3.7972241329650083,3.968079698582491,0.9569425065533546,0.0
