E,F,M,T,bench,case,fused_lb_ms,fused_ms,k,max_relerr,naive_ms,provider,quickgelu_ms,speedup,swiglu_relerr,unfused_ms
,2048,,512,swiglu,small,0.5675728500136756,,,,,cpu,0.7838530499611807,,0.0,1.0048057499261631
,14336,,1024,swiglu,mixtral-ffn,16.977734750344098,,,,,cpu,21.63969144994553,,0.0,28.138003000094614
,1408,,2048,swiglu,deepseek-ffn,2.2593681002035737,,,,,cpu,2.8420212998753414,,0.0,4.355543550173024
,8192,,1024,swiglu,wide,9.557105800195131,,,,,cpu,11.523448650314094,,0.0,15.143413500118186
,4096,,8192,swiglu,many-tokens,38.18889954991391,,,,,cpu,47.986849100016116,,0.0,63.73266744985813
8,,4096,,router,mixtral,,0.4939387999002065,2,0.0004970178926441351,0.5715873997360177,cpu,,1.1572028758451431,,
64,,4096,,router,deepseek,,1.224806150275981,6,0.0,1.385704450058256,cpu,,1.131366338865967,,
128,,4096,,router,switch-many,,0.4152479500589834,1,0.0,0.7895777000157977,cpu,,1.9014608016816053,,
256,,8192,,router,large-experts,,5.044157349948364,8,0.00018615040953090097,6.396649299949786,cpu,,1.2681304043806776,,
32,,512,,router,small-batch,,0.1624091501980729,4,0.0,0.18198355019194423,cpu,,1.1205252288433167,,
