F,K,M,activation,case,expanded_mean_ms,expanded_median_ms,expanded_min_ms,expanded_std_ms,fused_mean_ms,fused_median_ms,fused_min_ms,fused_speedup,fused_std_ms,k,max_relerr,normalize,num_experts,ok,provider,regime,router_impl,skipped,swiglu_impl,threads,weight_gib
14336,4096,1,silu,decode-silu,18.84243667203312,18.701049964874983,18.251199973747134,0.5474670254747113,76.87185000007351,74.61544999387115,74.01470001786947,0.2506324087894809,5.704025354643562,2,1.8380322234383606e-06,1,8,True,cpu,decode/launch-bound,routertopk,,expanded,24,3.5
14336,4096,1,swiglu,decode-swiglu,26.21892666599403,26.017700030934066,25.393699994310737,0.5723955425236605,118.60107999527827,117.97059996752068,114.58109994418919,0.22054393245518106,2.8037573260647783,2,2.0766276982372633e-06,1,8,True,cpu,decode/launch-bound,routertopk,,expanded,24,5.25
14336,4096,8,silu,decode-batch8-silu,109.66009000161041,108.18864998873323,106.59340000711381,3.0997085445220436,121.92142000421882,123.0860500363633,110.7804001076147,0.8789675999576806,4.475451302099435,2,1.6758414998685662e-06,1,8,True,cpu,decode-batch,routertopk,,expanded,24,3.5
14336,4096,32,silu,decode-batch32-silu,135.7751933314527,135.58954995824024,132.29929993394762,2.700772233533226,148.29371667389447,148.03079998819157,140.4751999070868,0.9159549902388978,3.943628925652269,2,3.3237193403958596e-07,1,8,True,cpu,decode-batch,routertopk,,expanded,24,3.5
2048,1024,128,silu,small-silu,8.312073334430655,8.277299988549203,8.077400038018823,0.1976864991818182,9.701756667345762,9.397850022651255,8.472900022752583,0.8807652780794292,1.1494263495596024,2,2.7324751612542893e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.125
2048,1024,128,silu,small-silu-bias,8.480833327242484,8.272000006400049,7.891199900768697,0.6953698667671399,14.78809667363142,14.071700046770275,12.727499939501286,0.5878465273496667,2.05215116143835,2,2.7669840803231127e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.125
2048,1024,128,swiglu,small-swiglu,12.206923329116156,11.736899963580072,11.24669995624572,1.1665924929677207,19.390810009402532,18.87679996434599,16.621100017800927,0.6217632218251199,2.545804751982889,2,2.8477392154336074e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.1875
2048,1024,128,gelu,small-gelu,8.800966665148735,8.455000002868474,8.14119994174689,0.7917116406843079,15.85078666297098,15.078049967996776,12.636100058443844,0.5607489045874132,1.8864456241458076,2,2.624091998566196e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.125
5632,2048,512,silu,prefill-silu,92.22972000328203,89.46195000316948,86.34520007763058,6.0705292208828,156.12127332715318,155.5122000281699,142.34489994123578,0.5752728723982048,7.006361006648568,2,3.657738425208678e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.6875
5632,2048,512,swiglu,prefill-swiglu,149.20873332691068,149.34689999790862,139.72189999185503,5.987213068790453,225.30049332805598,227.2098499815911,209.11769999656826,0.6573082109336762,7.003979162878392,2,2.6712134280830546e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,1.03125
5632,2048,512,gelu,prefill-gelu,100.92541332511853,100.58224998647347,93.6058999504894,5.691650352642483,169.31365334894508,168.70565002318472,155.76290001627058,0.5961996529022635,6.971264805523004,2,3.0858292548956683e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.6875
14336,4096,1024,silu,mixtral-silu,846.6532866664542,843.7243000371382,820.8606999833137,14.461355279961024,1378.0629766716931,1378.7936000153422,1304.151999996975,0.6119293707395724,36.17178683751721,2,4.184468383168143e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,3.5
14336,4096,1024,swiglu,mixtral-swiglu,1271.8803699788016,1272.3860999685712,1240.287399967201,16.870082644949083,2040.4345666562829,2038.294549973216,1956.8885999033228,0.6242405446186818,50.63060110151117,2,3.355348895888892e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,5.25
1408,1024,512,silu,deepseek-many-silu,57.90571667797243,57.92554997606203,53.28270001336932,2.870222683655859,78.37213999203716,77.8848499758169,74.04859992675483,0.7437332163321596,2.752039844973766,6,2.6365639960523255e-07,1,64,True,cpu,prefill/compute,routertopk,,expanded,24,0.6875
3072,768,1024,silu,switch-top1-silu,100.71389000319566,99.50730000855401,96.557000069879,3.408512710699929,118.7959033374985,117.60615004459396,108.36970002856106,0.8461062620519657,6.481994103268793,1,3.9639207108039196e-07,1,128,True,cpu,prefill/compute,routertopk,,expanded,24,2.25
2048,1024,2048,swiglu,large-tokens-swiglu,116.34591667292018,115.13035005191341,107.07539995200932,6.233761037555688,208.8836300186813,207.68330007558689,199.30370000656694,0.5543553574601878,5.4375679135776505,2,3.857302439255201e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.1875
5632,2048,4096,silu,prefill-4k-silu,630.9545466753965,629.1901000076905,612.2418000595644,12.913911114583653,1146.0761066681396,1146.1967499926686,1117.785600014031,0.548937257073635,19.221879436175755,2,3.916646861489037e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.6875
5632,2048,8192,silu,prefill-8k-silu,1324.170300019129,1327.4731999845244,1268.309700069949,19.56488530879523,2402.155436660784,2398.380399972666,2301.8655000487342,0.5534873450432022,43.499040662098274,2,3.7450799012796936e-07,1,8,True,cpu,prefill/compute,routertopk,,expanded,24,0.6875
