F,K,M,activation,case,expanded_mean_ms,expanded_median_ms,expanded_min_ms,expanded_std_ms,fused_mean_ms,fused_median_ms,fused_min_ms,fused_speedup,fused_std_ms,k,max_relerr,normalize,num_experts,ok,provider,regime,router_impl,skipped,swiglu_impl,threads,weight_gib
14336,4096,1,silu,decode-silu,19.86776999353121,19.554650003556162,17.900099977850914,1.4677838599940003,81.36229999363422,79.77789995493367,76.40709995757788,0.24511362187526287,4.346132748536884,2,1.8380322234383606e-06,1,8,True,cpu,decode/launch-bound,routertopk,,fused-op,24,3.5
14336,4096,1,swiglu,decode-swiglu,26.752626670834918,26.0341499815695,25.24820005055517,1.6004893512378124,115.12621666770428,114.79384999256581,113.30470000393689,0.2267904594475706,1.5307474154545406,2,2.0766276982372633e-06,1,8,True,cpu,decode/launch-bound,routertopk,,fused-op,24,5.25
14336,4096,8,silu,decode-batch8-silu,106.58308000614245,106.7596499924548,103.93520002253354,2.065887036247428,120.71514666313305,122.24544992204756,107.03880002256483,0.8733220750590912,5.700625055957244,2,1.6758414998685662e-06,1,8,True,cpu,decode-batch,routertopk,,fused-op,24,3.5
14336,4096,32,silu,decode-batch32-silu,136.8859666826514,136.58570003462955,132.06350000109524,3.6211371282497606,147.7937199990265,148.98479997646064,136.91650005057454,0.9167760741781033,5.198411809683066,2,3.3237193403958596e-07,1,8,True,cpu,decode-batch,routertopk,,fused-op,24,3.5
2048,1024,128,silu,small-silu,8.398156659677625,8.016700041480362,7.527600042521954,0.9808090842021576,10.4203433302852,8.733050024602562,8.466599974781275,0.9179725318068586,2.551054955733592,2,2.7324751612542893e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.125
2048,1024,128,silu,small-silu-bias,8.790833328384906,8.56864993693307,7.890200009569526,0.8561251466104691,16.2523299921304,14.915450010448694,13.11240007635206,0.5744814893905641,3.1496966808104343,2,2.7669840803231127e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.125
2048,1024,128,swiglu,small-swiglu,12.73141335307931,12.494899972807616,12.01460009906441,0.815187707569319,19.134423342378188,18.457399972248822,16.513300011865795,0.6769588344834061,2.5501693396416867,2,2.8477392154336074e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.1875
2048,1024,128,gelu,small-gelu,8.555253319597492,8.380399958696216,7.849800051189959,0.629132048146808,15.189403338202586,14.8250000202097,13.0517000798136,0.5652883606928775,1.5715254447516311,2,2.624091998566196e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.125
5632,2048,512,silu,prefill-silu,93.62248999532312,93.43290003016591,84.17130005545914,5.849760802764613,157.00003997966027,157.78090001549572,146.53369993902743,0.59216863397908,6.159183925886455,2,3.657738425208678e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.6875
5632,2048,512,swiglu,prefill-swiglu,155.07278667452434,155.01375001622364,142.96969992574304,5.848930813287147,224.6959033460977,224.97600002679974,204.86860000528395,0.6890234958295907,8.266209176783573,2,2.6712134280830546e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,1.03125
5632,2048,512,gelu,prefill-gelu,103.86845333268866,102.29210002580658,94.52410007361323,6.046573783011024,171.88969000320262,172.17159998835996,161.7469999473542,0.5941287647482062,4.678566522413621,2,3.0858292548956683e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.6875
14336,4096,1024,silu,mixtral-silu,853.7220166724486,853.412099997513,822.2648999653757,13.603081029382393,1377.3694033346449,1372.9700000258163,1323.0615999782458,0.6215810250635236,34.1169310055894,2,4.184468383168143e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,3.5
14336,4096,1024,swiglu,mixtral-swiglu,1280.6895166557904,1281.3230999745429,1250.4821999464184,16.34205506313554,2043.117813327505,2047.7920499979518,1931.434900034219,0.6257095782630001,51.333096167296084,2,3.355348895888892e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,5.25
1408,1024,512,silu,deepseek-many-silu,59.65457665733993,58.22280002757907,53.39949997141957,4.319066270808732,78.94276334748913,77.66449998598546,72.23359995987266,0.74967069945838,4.279965260022747,6,2.6365639960523255e-07,1,64,True,cpu,prefill/compute,routertopk,,fused-op,24,0.6875
3072,768,1024,silu,switch-top1-silu,99.18244999911015,99.21454999130219,96.04239999316633,1.9345880824741228,115.8454400060388,116.06199998641387,108.32010000012815,0.854840947105135,3.043236503676772,1,3.9639207108039196e-07,1,128,True,cpu,prefill/compute,routertopk,,fused-op,24,2.25
2048,1024,2048,swiglu,large-tokens-swiglu,122.08420666089903,120.75759994331747,112.40310000721365,5.39320327656111,211.1851500153231,211.90980001119897,187.65679991338402,0.5698537771114677,6.930527831522504,2,3.857302439255201e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.1875
5632,2048,4096,silu,prefill-4k-silu,637.124963341436,641.4666999480687,602.7620000531897,19.607511929865694,1147.5077566613134,1145.7441499223933,1113.1229000166059,0.5598690597647985,20.469904221313186,2,3.916646861489037e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.6875
5632,2048,8192,silu,prefill-8k-silu,1317.7182433311827,1319.7414000169374,1279.5979999937117,17.51453561508282,2379.4354166602716,2387.048499949742,2273.217200068757,0.5528758213520688,47.446463835356965,2,3.7450799012796936e-07,1,8,True,cpu,prefill/compute,routertopk,,fused-op,24,0.6875
