F,K,M,activation,case,expanded_mean_ms,expanded_median_ms,expanded_min_ms,expanded_std_ms,fused_mean_ms,fused_median_ms,fused_min_ms,fused_speedup,fused_std_ms,k,max_relerr,normalize,num_experts,ok,provider,regime,router_impl,skipped,swiglu_impl,threads,weight_gib
14336,4096,1,silu,decode-silu,18.68918668090676,18.619850045070052,18.113300087861717,0.3591055084548807,76.81378998483221,76.10784994903952,75.20570000633597,0.24465084820471972,2.250134400656833,2,1.8380322234383606e-06,1,8,True,cpu,decode/launch-bound,softmax-topk,,fused-op,24,3.5
14336,4096,1,swiglu,decode-swiglu,26.78139666871478,26.417799992486835,25.66599997226149,1.3807921396327136,117.14133000156532,116.94079998414963,115.5175999738276,0.22590746767652992,1.479737599681331,2,2.0766276982372633e-06,1,8,True,cpu,decode/launch-bound,softmax-topk,,fused-op,24,5.25
14336,4096,8,silu,decode-batch8-silu,108.17127665892865,108.04090002784505,105.04870000295341,1.8213564362334285,125.12235333754991,126.00314995506778,108.89109992422163,0.8574460246936049,7.4625502961478025,2,1.6758414998685662e-06,1,8,True,cpu,decode-batch,softmax-topk,,fused-op,24,3.5
14336,4096,32,silu,decode-batch32-silu,153.12919333809987,153.3496500342153,145.1809999998659,3.360219277287932,151.87029334095618,152.2192499251105,141.70020003803074,1.0074261311211359,4.0737106907344796,2,3.3237193403958596e-07,1,8,True,cpu,decode-batch,softmax-topk,,fused-op,24,3.5
2048,1024,128,silu,small-silu,8.447233339150747,8.34194995695725,7.827699999324977,0.7614255851511295,9.751423328028372,9.131400031037629,8.446999941952527,0.9135455602211011,1.346428664772442,2,2.7324751612542893e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.125
2048,1024,128,silu,small-silu-bias,8.948036659664163,8.817300025839359,8.303100010380149,0.5667799537232865,13.989923320089778,13.809299969580024,12.705100001767278,0.6385044893848819,0.708543598308839,2,2.7669840803231127e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.125
2048,1024,128,swiglu,small-swiglu,13.33941665943712,12.83305004471913,11.997100082226098,1.4779414857978053,20.44677333906293,19.04040004592389,17.52859994303435,0.6739905681480883,3.178755018075247,2,2.8477392154336074e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.1875
2048,1024,128,gelu,small-gelu,9.429169993381947,9.095949993934482,8.367399917915463,1.436744518998537,16.80246666073799,16.29909995244816,13.781300047412515,0.5580645569676533,2.510188811925982,2,2.624091998566196e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.125
5632,2048,512,silu,prefill-silu,95.4246500080141,94.44770001573488,84.87670007161796,6.919064315291468,156.0611266642809,157.5979000190273,139.88050003536046,0.599295422111157,8.168257799092167,2,2.844907664051194e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.6875
5632,2048,512,swiglu,prefill-swiglu,150.78556333125258,152.08055003313348,141.10280002932996,7.199518680680979,240.59428999898955,240.80904998118058,212.00299996417016,0.6315400108302354,16.985517323316902,2,2.6712134280830546e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,1.03125
5632,2048,512,gelu,prefill-gelu,99.43734999202813,98.36959996027872,96.11340006813407,2.5895006443941724,177.6204566626499,177.05140000907704,159.39439996145666,0.5555991082546398,9.04736754198067,2,3.0858292548956683e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.6875
14336,4096,1024,silu,mixtral-silu,929.6535566565581,930.3642499726266,893.1986999232322,14.674067306318559,1383.4723066732597,1391.3719500415027,1319.4347000680864,0.6686668147542252,30.2312259337866,2,4.184468383168143e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,3.5
14336,4096,1024,swiglu,mixtral-swiglu,1279.417846670064,1281.2720999936573,1238.1802999880165,16.126157744372506,2061.775116669014,2045.0925499899313,1957.3325000237674,0.6265105703895726,55.75633289851012,2,3.774767507875004e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,5.25
1408,1024,512,silu,deepseek-many-silu,58.022793335840106,57.882499997504056,53.87110006995499,2.5663719237285028,86.29559333979462,87.96695002820343,74.26380005199462,0.6580028064966004,6.246351159929088,6,2.6365639960523255e-07,1,64,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.6875
3072,768,1024,silu,switch-top1-silu,99.04487332484375,98.71960000600666,95.20760003942996,2.3505488486632724,116.93382333420838,116.17010005284101,112.68379993271083,0.8497849271120811,3.5478221661491918,1,3.9639207108039196e-07,1,128,True,cpu,prefill/compute,softmax-topk,,fused-op,24,2.25
2048,1024,2048,swiglu,large-tokens-swiglu,124.8948066495359,124.15649998001754,116.72459996771067,4.286869967330351,233.73357000527903,229.92454998893663,196.51339994743466,0.539988009049019,22.40134273223139,2,2.5715349595034674e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.1875
5632,2048,4096,silu,prefill-4k-silu,643.9898399907785,641.5921000298113,615.4173999093473,19.719265082356603,1259.5320000002782,1268.9448000164703,1125.052599934861,0.5056107247702845,83.83610608239164,2,3.1333174891912297e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.6875
5632,2048,8192,silu,prefill-8k-silu,1334.6645699891571,1332.6391499722376,1293.3163999114186,22.42436579704907,2375.132643338293,2370.4143000068143,2240.235900040716,0.562196722306479,52.01912498094543,2,3.3705719111517245e-07,1,8,True,cpu,prefill/compute,softmax-topk,,fused-op,24,0.6875
