F,K,M,activation,case,expanded_fused_reduce_max_relerr,expanded_fused_reduce_mean_ms,expanded_fused_reduce_median_ms,expanded_fused_reduce_min_ms,expanded_fused_reduce_ok,expanded_fused_reduce_speedup,expanded_fused_reduce_std_ms,expanded_mean_ms,expanded_median_ms,expanded_min_ms,expanded_std_ms,fused_mean_ms,fused_median_ms,fused_min_ms,fused_speedup,fused_std_ms,k,max_relerr,normalize,num_experts,ok,provider,regime,router_impl,skipped,swiglu_impl,threads,weight_gib
14336,4096,1,silu,decode-silu,0.0007722007722007722,0.5011335946619511,0.4996960051357746,0.4897722974419594,True,1.2190272900873924,0.00815892765817123,0.487655121833086,0.4865061491727829,0.4747239872813225,0.011860308019383026,0.41092606261372566,0.40991371497511864,0.4001352936029434,1.1868501379669947,0.006216100733600221,2,0.0007722007722007722,1,8,True,cuda,decode/launch-bound,routertopk,,expanded,96,1.75
14336,4096,1,swiglu,decode-swiglu,0.0011154489682097045,0.6543269070486227,0.6530755199491978,0.6392598152160645,True,1.211591275658874,0.007067432295717163,0.6399779270092646,0.6376318633556366,0.6263758987188339,0.010754078766785765,0.5409386319418749,0.5390229634940624,0.5325209349393845,1.182940072204661,0.006651938499724445,2,0.0011154489682097045,1,8,True,cuda,decode/launch-bound,routertopk,,expanded,96,2.625
14336,4096,8,silu,decode-batch8-silu,0.0007849293563579278,1.4886130578815937,1.4912979677319527,1.4744065701961517,True,1.2122101517847004,0.008622187904428315,1.5062528972824414,1.5081334859132767,1.4869384467601776,0.010102043757375,1.23085118830204,1.2302305549383163,1.216355711221695,1.2258949998107422,0.007061635786577134,2,0.0007849293563579278,1,8,True,cuda,decode-batch,routertopk,,expanded,96,1.75
14336,4096,32,silu,decode-batch32-silu,0.0010865724381625445,1.538592390716076,1.5389230102300644,1.523108221590519,True,1.2099816533646544,0.0068926731821771885,1.573548000305891,1.5730462037026882,1.5555080026388168,0.009314919345535631,1.278591404358546,1.2718564830720425,1.2467456981539726,1.236811090433059,0.05211506440278264,2,0.001177856301531213,1,8,True,cuda,decode-batch,routertopk,,expanded,96,1.75
2048,1024,128,silu,small-silu,0.0008952551477170994,0.42523440594474476,0.4229736514389515,0.4125693812966347,True,2.188459814867463,0.00821443592442016,0.4872884290913741,0.4806099459528923,0.4720482975244522,0.021538599668592496,0.19431337714195251,0.1932745799422264,0.1807175576686859,2.4866692044890546,0.013429664407772638,2,0.0008952551477170994,1,8,True,cuda,prefill/compute,routertopk,,expanded,96,0.0625
2048,1024,128,silu,small-silu-bias,0.0009066183136899365,0.4251480723420779,0.42232731357216835,0.4147924482822418,True,2.101920821726051,0.008065744239245026,0.47896535446246463,0.47954777255654335,0.46147964894771576,0.008295632349614324,0.20205015316605568,0.20092446357011795,0.1909146085381508,2.38670674558846,0.008238893768940497,2,0.0009066183136899365,1,8,True,cuda,prefill/compute,routertopk,,expanded,96,0.0625
2048,1024,128,swiglu,small-swiglu,0.0011661807580174927,0.44948415209849674,0.44826511293649673,0.4410203546285629,True,1.951326402163271,0.007500467101851289,0.5051245292027792,0.5061579868197441,0.4913555458188057,0.0068240369822929366,0.2298459100226561,0.22972328588366508,0.21960027515888214,2.203337745552139,0.005598579273912268,2,0.0011661807580174927,1,8,True,cuda,prefill/compute,routertopk,,expanded,96,0.09375
2048,1024,128,gelu,small-gelu,0.0008598452278589854,0.45942338183522224,0.4574619233608246,0.44844672083854675,True,2.355601913462576,0.008067087922582976,0.511212150255839,0.5127601325511932,0.498439185321331,0.004972258791470034,0.195444126923879,0.19420171156525612,0.18533505499362946,2.6403481638672086,0.00707586814374845,2,0.0008598452278589854,1,8,True,cuda,prefill/compute,routertopk,,expanded,96,0.0625
5632,2048,512,silu,prefill-silu,0.0009803595206391456,1.1913785400489967,1.1884323321282864,1.177903264760971,True,1.3946000442619322,0.01114551219473377,1.3505485529700916,1.3428321108222008,1.3317503035068512,0.026047429799671704,0.8545707911252975,0.8521671406924725,0.8419090881943703,1.5757848979379951,0.008650080105827837,2,0.0009986684420772304,1,8,True,cuda,prefill/compute,routertopk,,expanded,96,0.34375
5632,2048,512,swiglu,prefill-swiglu,0.0008205689277899343,1.4641985607643921,1.4615985564887524,1.450253650546074,True,1.3711430637069137,0.008767894823609216,1.6067729021112125,1.6056257300078869,1.5963232144713402,0.006310693535762911,1.0668637541433175,1.0659708641469479,1.0532625019550323,1.506256675498164,0.008587375315033023,2,0.0010940919037199124,1,8,True,cuda,prefill/compute,routertopk,,expanded,96,0.515625
